layer	source	target 	value
carbon	crude	refinery_carbon	28.95
carbon	natural gas	refinery_carbon	0.40
hydrogen	crude	refinery_hydrogen	52.67
hydrogen	natural gas	refinery_hydrogen	1.59
hydrogen	water_SMR	refinery_hydrogen	1.30
nitrogen	crude	refinery_nitrogen	0.06
oxygen	crude	refinery_oxygen	0.09
oxygen	water_SMR	refinery_oxygen	0.65
oxygen	air	refinery_oxygen	2.84
sulfur	crude	refinery_sulfur	0.18
carbon	refinery_carbon	naphtha	5.24
carbon	refinery_carbon	LPG	1.11
carbon	refinery_carbon	coke	0.17
carbon	refinery_carbon	diesel	13.58
carbon	refinery_carbon	gasoline	5.38
carbon	refinery_carbon	heavyfuel	2.69
carbon	refinery_carbon	kerosene	0.11
carbon	refinery_carbon	CO2_SMR	0.37
carbon	refinery_carbon	CO2_combustion	0.71
hydrogen	refinery_hydrogen	naphtha	10.05
hydrogen	refinery_hydrogen	LPG	2.86
hydrogen	refinery_hydrogen	coke	0.09
hydrogen	refinery_hydrogen	diesel	24.72
hydrogen	refinery_hydrogen	gasoline	10.32
hydrogen	refinery_hydrogen	heavyfuel	3.97
hydrogen	refinery_hydrogen	kerosene	0.21
hydrogen	refinery_hydrogen	H2S	0.34
hydrogen	refinery_hydrogen	NH3	0.15
hydrogen	refinery_hydrogen	water_boiler	2.84
nitrogen	refinery_nitrogen	coke	0.00
nitrogen	refinery_nitrogen	heavyfuel	0.01
nitrogen	refinery_nitrogen	NH3	0.05
oxygen	refinery_oxygen	CO2_SMR	0.74
oxygen	refinery_oxygen	CO2_combustion	2.84
sulfur	refinery_sulfur	coke	0.01
sulfur	refinery_sulfur	heavyfuel	0.01
sulfur	refinery_sulfur	H2S	0.17